"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02076V02508","Age Group","UNIT","VALUE"
"DEA04C01","Mean Annual Earnings","2011","2011","1","Male","310","15 - 24 years","Euro","18900"
"DEA04C01","Mean Annual Earnings","2011","2011","1","Male","320","15 years and over","Euro","45781"
"DEA04C01","Mean Annual Earnings","2011","2011","1","Male","410","25 - 29 years","Euro","31135"
"DEA04C01","Mean Annual Earnings","2011","2011","1","Male","445","30 - 39 years","Euro","44439"
"DEA04C01","Mean Annual Earnings","2011","2011","1","Male","480","40 - 49 years","Euro","55690"
"DEA04C01","Mean Annual Earnings","2011","2011","1","Male","520","50 - 59 years","Euro","54603"
"DEA04C01","Mean Annual Earnings","2011","2011","1","Male","560","60 years and over","Euro","41581"
"DEA04C01","Mean Annual Earnings","2011","2011","2","Female","310","15 - 24 years","Euro","17085"
"DEA04C01","Mean Annual Earnings","2011","2011","2","Female","320","15 years and over","Euro","33733"
"DEA04C01","Mean Annual Earnings","2011","2011","2","Female","410","25 - 29 years","Euro","29464"
"DEA04C01","Mean Annual Earnings","2011","2011","2","Female","445","30 - 39 years","Euro","37293"
"DEA04C01","Mean Annual Earnings","2011","2011","2","Female","480","40 - 49 years","Euro","37203"
"DEA04C01","Mean Annual Earnings","2011","2011","2","Female","520","50 - 59 years","Euro","34940"
"DEA04C01","Mean Annual Earnings","2011","2011","2","Female","560","60 years and over","Euro","25021"
"DEA04C01","Mean Annual Earnings","2012","2012","1","Male","310","15 - 24 years","Euro","18314"
"DEA04C01","Mean Annual Earnings","2012","2012","1","Male","320","15 years and over","Euro","45452"
"DEA04C01","Mean Annual Earnings","2012","2012","1","Male","410","25 - 29 years","Euro","30655"
"DEA04C01","Mean Annual Earnings","2012","2012","1","Male","445","30 - 39 years","Euro","43501"
"DEA04C01","Mean Annual Earnings","2012","2012","1","Male","480","40 - 49 years","Euro","55395"
"DEA04C01","Mean Annual Earnings","2012","2012","1","Male","520","50 - 59 years","Euro","54330"
"DEA04C01","Mean Annual Earnings","2012","2012","1","Male","560","60 years and over","Euro","40450"
"DEA04C01","Mean Annual Earnings","2012","2012","2","Female","310","15 - 24 years","Euro","16357"
"DEA04C01","Mean Annual Earnings","2012","2012","2","Female","320","15 years and over","Euro","33806"
"DEA04C01","Mean Annual Earnings","2012","2012","2","Female","410","25 - 29 years","Euro","28830"
"DEA04C01","Mean Annual Earnings","2012","2012","2","Female","445","30 - 39 years","Euro","37055"
"DEA04C01","Mean Annual Earnings","2012","2012","2","Female","480","40 - 49 years","Euro","37609"
"DEA04C01","Mean Annual Earnings","2012","2012","2","Female","520","50 - 59 years","Euro","35102"
"DEA04C01","Mean Annual Earnings","2012","2012","2","Female","560","60 years and over","Euro","24468"
"DEA04C01","Mean Annual Earnings","2013","2013","1","Male","310","15 - 24 years","Euro","18291"
"DEA04C01","Mean Annual Earnings","2013","2013","1","Male","320","15 years and over","Euro","45511"
"DEA04C01","Mean Annual Earnings","2013","2013","1","Male","410","25 - 29 years","Euro","30546"
"DEA04C01","Mean Annual Earnings","2013","2013","1","Male","445","30 - 39 years","Euro","43088"
"DEA04C01","Mean Annual Earnings","2013","2013","1","Male","480","40 - 49 years","Euro","55315"
