"Company Name","Company Site","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
3M,https://www.3mireland.ie/3M/en_IE/company-uk/,https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2023.pdf,2023,9.1,2,51,15,,,,,26,15,95,97,33,65,34,66,37,63,27,73,,
"A&L Goodbody (excluding equity partners)",https://www.algoodbody.com/,https://www.algoodbody.com/images/uploads/services/Employment/Gender_Pay_Gap_report_2023_FINAL.pdf,2023,21.3,24.8,41.4,30.8,-20.9,-22.1,-0.4,-0.2,46.5,58.2,91.4,85.2,61.3,38.7,80.2,19.8,66.5,33.5,55.5,44.5,66,34
AA,https://www.theaa.ie/,https://www.theaa.ie/wp-content/uploads/2023/12/2023-AA-Ireland-Gender-Pay-Gap-Report.pdf,2023,5,16,-51,-34,-63,7,2,23,73,77,36,29,57,43,30,70,16,84,26,73,32,68
"Abbott Ireland (all legal entities)",https://www.ie.abbott/homepage.html,https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/GenderPayGap-Ireland2023.pdf,2023,10.2,7.5,15.7,5.9,-30.2,-26,8.2,2.2,81.9,79.1,84,82.2,49.7,50.3,51.2,48.8,47.3,52.7,37,63,,
"AbbVie Sligo",https://www.abbvie.ie/,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie_Gender_Gap_Report_2023_Sligo.pdf,2023,7.6,9.9,10.6,6,20.4,24.4,8.8,3.1,94.4,95.3,91,88.7,39.7,60.3,33.3,66.7,30.4,69.9,27.2,72.8,33.5,67.5
"AbbVie Westport (Allergan)",https://www.abbvie.ie/,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie_Gender_Gap_Report_2023_Westport.pdf,2023,12,6.9,13,-22.3,,,3.4,6.2,93.2,95.7,81,85,52.1,47.9,42.7,57.3,38.2,61.8,35.5,64.5,42,58
"ABM (formerly Momentum Support)",https://abmireland.com/,https://abmireland.com/wp-content/uploads/2023/12/ABM-Ireland-Gender-Pay-Gap-Report-2023-Reg-No-IE091300.pdf,2023,5.6,1.8,41.6,-17.3,0.4,1.5,,,2.2,4.2,0.8,2.8,77.8,22.2,70.4,29.6,65.1,34.9,64.4,35.6,69,31
"ABP Food Group: C&D Foods",https://cdfoods.com/,https://cdfoods.com/wp-content/uploads/2023/12/CD-Gender-Pay-Report-2023.pdf,2023,15.8,0,80.1,0,,,,,93.2,94.5,,,46.3,53.7,19.8,80.2,45.5,54.5,34.1,65.9,,
"ABP Food Group: Irish Country Meats",https://irishcountrymeats.com/,https://irishcountrymeats.com/wp-content/uploads/2023/12/ICM-Gender-Pay-Report-2023.pdf,2023,15.9,12.7,61.9,0,,,,,72.2,84.9,,,42.3,57.7,27.7,72.3,11.6,88.4,21.4,78.6,26,74
Abtran,https://www.abtran.com/,https://www.abtran.com/wp-content/uploads/2023/12/Abtran-Gender-Pay-Gap-Report-2023.pdf,2023,13.9,1.58,41.79,0,-5.51,-3.07,25.76,26.03,38.45,40.06,1.71,0.06,60.98,39.02,57.62,42.38,59.95,40.05,48.58,51.42,,
